Region,n_bin_0,n_bin_1,n_bin_2,n_bin_3,n_bin_4,n_bin_5,n_bin_6,p_bin_0,p_bin_1,p_bin_2,p_bin_3,p_bin_4,p_bin_5,p_bin_6,ph_bin_0,ph_bin_1,ph_bin_2,ph_bin_3,ph_bin_4,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,Year,rain_weighted_mean_Flowering,rain_weighted_mean_Growing,rain_weighted_mean_Maturation,rain_weighted_mean_Planting,rain_weighted_std_Flowering,rain_weighted_std_Growing,rain_weighted_std_Maturation,rain_weighted_std_Planting,rain_weighted_p90_Flowering,rain_weighted_p90_Growing,rain_weighted_p90_Maturation,rain_weighted_p90_Planting,num_rainy_days_Flowering,num_rainy_days_Growing,num_rainy_days_Maturation,num_rainy_days_Planting,rad_weighted_mean_Flowering,rad_weighted_mean_Growing,rad_weighted_mean_Maturation,rad_weighted_mean_Planting,rad_weighted_std_Flowering,rad_weighted_std_Growing,rad_weighted_std_Maturation,rad_weighted_std_Planting,rad_weighted_sum_Flowering,rad_weighted_sum_Growing,rad_weighted_sum_Maturation,rad_weighted_sum_Planting,rad_weighted_p10_Flowering,rad_weighted_p10_Growing,rad_weighted_p10_Maturation,rad_weighted_p10_Planting,et_weighted_mean_Flowering,et_weighted_mean_Growing,et_weighted_mean_Maturation,et_weighted_mean_Planting,et_weighted_std_Flowering,et_weighted_std_Growing,et_weighted_std_Maturation,et_weighted_std_Planting,et_weighted_p10_Flowering,et_weighted_p10_Growing,et_weighted_p10_Maturation,et_weighted_p10_Planting,et_weighted_p90_Flowering,et_weighted_p90_Growing,et_weighted_p90_Maturation,et_weighted_p90_Planting,maxt_weighted_std_Flowering,maxt_weighted_std_Growing,maxt_weighted_std_Maturation,maxt_weighted_std_Planting,maxt_weighted_p90_Flowering,maxt_weighted_p90_Growing,maxt_weighted_p90_Maturation,maxt_weighted_p90_Planting,mint_weighted_std_Flowering,mint_weighted_std_Growing,mint_weighted_std_Maturation,mint_weighted_std_Planting,mint_weighted_p10_Flowering,mint_weighted_p10_Growing,mint_weighted_p10_Maturation,mint_weighted_p10_Planting,num_hot_days_Flowering,num_hot_days_Growing,num_hot_days_Maturation,num_hot_days_Planting,num_frost_days_Flowering,num_frost_days_Growing,num_frost_days_Maturation,num_frost_days_Planting,gdd_Flowering,gdd_Growing,gdd_Maturation,gdd_Planting,rh_tmax_weighted_std_Flowering,rh_tmax_weighted_std_Growing,rh_tmax_weighted_std_Maturation,rh_tmax_weighted_std_Planting,rh_tmin_weighted_std_Flowering,rh_tmin_weighted_std_Growing,rh_tmin_weighted_std_Maturation,rh_tmin_weighted_std_Planting,temp_range_wieghted_mean_Flowering,temp_range_wieghted_mean_Growing,temp_range_wieghted_mean_Maturation,temp_range_wieghted_mean_Planting,VPD_day_Flowering,VPD_day_Growing,VPD_day_Maturation,VPD_day_Planting,VPD_night_Flowering,VPD_night_Growing,VPD_night_Maturation,VPD_night_Planting,region_area,bare_Flowering,bare_Growing,bare_Maturation,bare_Planting,sparse_Flowering,sparse_Growing,sparse_Maturation,sparse_Planting,moderate_Flowering,moderate_Growing,moderate_Maturation,moderate_Planting,dense_Flowering,dense_Growing,dense_Maturation,dense_Planting,very_dense_Flowering,very_dense_Growing,very_dense_Maturation,very_dense_Planting
NSW Murrumbidgee,0.3452379464083071,0.5195422161926914,0.1220734165398527,0.0094360163300758,0.0021628783852029,0.0015339336891256,1.3592454744467305e-05,0.7166806352911977,0.1826447510428643,0.0478446855641502,0.0415225999311819,0.0089499602168986,0.0021231917735107,0.0002341761801963,0.0089897307326324,0.6928392179572772,0.278665794847738,0.0195052564623522,0.0,0.30593429310672,0.0334885711063297,0.0903547593923287,0.4395913884786363,0.0003796857895104,0.0053900656526763,0.0424469134339827,0.0551514107945891,0.0003635378482642,0.01620399886613,0.0105826746144658,1.5896936978183045e-06,0.0001111112226685,2020,0.9621690368828766,1.2916637761590934,2.051457586618877,2.1706932052161974,3.613703855683374,4.818528631302895,7.174526299662242,5.06695509810367,2.1,2.7,5.1,8.1,1.120916786701119,1.0400567637775664,2.147677790116885,2.431166514748812,25.279442710139904,25.482182911319228,20.070734767025087,22.628894989704875,6.444016001387447,6.137856921792505,5.448922229441975,6.746347216779126,218641.9,220395.4,335984.1,296732.7,14.1,16.4,12.8,11.2,6.579593016533702,5.786044629436929,4.607144563918758,4.905094181346756,1.6040332507071935,1.1847093798935853,1.313139313720168,1.64206644016183,4.2,4.1,3.0,2.7,8.4,7.1,6.2,7.2,5.962619100066345,4.89288520253311,4.645239380034626,6.500369846785548,41.1,34.6,33.8,36.0,3.659208259393229,4.001679129317135,4.627654904459631,4.624691754475482,11.9,7.5,9.1,6.2,3272.0,678.0,765.0,1508.0,0.0,1.0,15.0,0.0,66739.05,41977.55,91872.85,49504.3,11.291590917846076,10.38041674890648,12.76125484761742,14.507451058606446,17.4864570750777,16.33023822321053,14.447732707776828,15.119612948406036,16.859475083824726,16.055856168343162,13.046081242532855,15.097346145046902,5.566512693661484,3.7145986471093697,3.1835961353401547,3.5873359740347395,0.3502938595909792,0.181756907357325,0.1894952361390005,0.0957646108879961,125671570740.9952,0.0,0.0,0.0,0.0,0.8311258278145696,0.6161950632149308,0.5580975316074653,0.2251655629139072,0.1393738711619506,0.2203491872366044,0.3249548464780253,0.3159241420830825,0.0279951836243226,0.1447922937989163,0.1061107766405779,0.2638470800722456,0.0015051173991571,0.0186634557495484,0.0108368452739313,0.1950632149307646
NSW Macquarie-Castlereagh,0.5184976260795676,0.451991011717986,0.0294454555027949,6.437160571542081e-05,1.5350939359798285e-06,0.0,0.0,0.8372148524636569,0.1530138652754485,0.0084912185974788,0.001271160118587,8.903544828683006e-06,0.0,0.0,0.0007032777018702,0.4358710926358576,0.4726659638665496,0.0902288303126607,0.0005308354830618,0.267084380982843,0.0162997487684955,0.0362478470068093,0.4571783896964937,0.0018725101026538,0.0013689230154525,0.0976520558626049,0.1180534642305505,2.554723453740856e-06,0.0042301110947041,1.0014515938664156e-05,0.0,0.0,2020,1.1503046594982076,2.0387795992714026,3.594509259259259,2.076192411924119,3.393219823029101,5.827136659079748,8.813113778988432,4.847115855303974,3.6,6.5,12.8,7.2,0.8465468521033368,1.7763505023491732,2.1916013011328466,1.4791616867537296,26.347992831541216,24.939489981785066,19.12325925925926,19.714579945799457,5.221594387024038,6.500101002044882,6.693116400826065,5.168019377048528,147021.8,273835.6,206531.2,145493.6,18.5,14.6,7.6,11.6,7.093620071684588,5.750938069216758,4.328833333333333,3.8101490514905145,1.5864972844074627,1.545755111593372,1.5377786197412595,1.1653877912827626,4.9,3.6,2.2,2.2,9.0,7.6,6.2,5.3,5.381651675364097,5.727926168422434,4.9331118296396985,5.263882974908479,42.7,37.3,33.4,30.2,4.077332368726354,4.731879925439109,4.297114697913394,4.441661641586803,15.3,8.2,10.7,2.6,3113.0,1831.0,638.0,12.0,0.0,0.0,0.0,95.0,57379.8,65761.65,62612.75000000001,14980.700000000004,11.759763959544694,13.693236517819363,14.614132109131727,14.209000210434198,20.326827209024582,17.604622516469426,14.790060598554568,9.78050222841221,15.242562724014345,15.127459016393445,11.260222222222223,14.321639566395664,5.935285210566638,4.067062477606798,2.75576585555146,2.387634819089848,0.5040785303947432,0.1765879057639644,0.1612121007238131,0.036314431179805,99372539865.90611,0.0,0.0,0.0,0.0,0.8195819581958196,0.3281994866153281,0.3193986065273194,0.0319031903190319,0.1771177117711771,0.4088742207554089,0.4341767510084341,0.3469013568023469,0.0033003300330033,0.2405573890722405,0.2231389805647231,0.4444444444444444,0.0,0.0223689035570223,0.0232856618995232,0.1767510084341767
NSW Namoi,0.3502509755828882,0.5936541050519742,0.0553659252269211,0.0007055976962303,1.676745009002756e-05,5.459169796753159e-06,1.1698220993042483e-06,0.7587836579752134,0.2121587409594686,0.0253373718191806,0.0036389266102357,8.130263590164525e-05,0.0,0.0,0.0,0.2414906653070734,0.5279288202246644,0.2299113762274602,0.000669138240802,0.411852560750691,0.1700250388665036,0.0539894962130223,0.213424897222286,0.00116706581161,0.0018813217687072,0.1357471771413175,0.004156467413459,7.786927850609346e-07,0.0077404009567019,1.1291045383383552e-05,0.0,3.504117532774206e-06,2020,2.7988379082348227,3.076173505752978,4.2024120082815735,2.819163763066202,7.164173667897253,9.78807141277093,9.062801212529536,7.114205527139151,8.8,7.9,16.0,9.4,0.5193903468330487,0.9335111909268584,1.075302809018977,0.6390723954629025,25.30827489481066,24.4255982079218,18.98035196687371,20.396970156036968,6.475402780017865,6.2976747390186425,6.599406858999683,5.201277030260107,126313.6,239883.8,183350.2,134640.40000000002,15.2,14.8,7.9,12.3,6.755700260468845,5.61136340494858,4.208064182194617,4.067080745341616,1.6559828404969568,1.4613540399851823,1.4089782283820282,1.040598152684701,4.2,3.7,2.3,2.5,8.6,7.4,5.7,5.2,4.687810821462872,5.07258071105311,4.166211393410911,4.106135741317664,40.9,36.8,32.8,29.6,3.22638092155496,4.295650558391259,3.8503338902994377,4.5625045537860425,16.3,8.9,11.1,2.5,2805.0,1637.0,477.0,2.0,0.0,0.0,0.0,152.0,51585.7,61669.600000000006,58300.80000000001,14778.950000000004,12.55144892541571,12.893635908263088,12.431746423321956,12.350814048350834,17.557376758385587,13.961738766247286,10.626527604680664,7.948948474148701,14.586195151272287,15.070471438753689,11.576666666666664,15.757173155582487,5.093803927599481,3.797826197378253,2.517680275234988,2.4487289026761294,0.432379997417003,0.1221716976241305,0.0830233271557263,0.0292924146218624,51575029192.95177,0.0,0.0,0.0,0.0,0.6585195530726257,0.2196229050279329,0.1222067039106145,0.0237430167597765,0.3407821229050279,0.4958100558659218,0.3973463687150838,0.4713687150837989,0.0006983240223463,0.2688547486033519,0.3945530726256983,0.4525139664804469,0.0,0.0157122905027932,0.0858938547486033,0.0523743016759776
NSW Barwon Darling,0.9739826918593476,0.0234934486030496,0.0023140342803002,0.0002079173319199,1.907925382434336e-06,0.0,0.0,0.9983824050190536,0.0014851570385461,0.0001274587224996,4.886150369648909e-06,9.306953085045541e-08,0.0,0.0,0.0,0.0913975367287269,0.5152530258067849,0.3541721441963469,0.0391772932681412,0.3423578875026462,0.01399529915257,0.0046890399930903,0.0317344855160403,1.4550109228088349e-05,0.0,0.0110353978590234,0.5935889057694949,0.0,0.0025714180257537,1.3016072152922489e-05,0.0,0.0,2020,0.767291822955739,1.9634846211552888,2.606608527131783,0.7468579910935181,3.6864458375702456,6.67803473129776,7.771003854137029,2.824435027621724,1.2,5.0,7.8,1.5,1.2778210424695646,1.8240230344000263,3.653137045380491,1.9064204180812565,27.470855213803453,25.483702175543883,21.051957364341085,25.3830776843147,4.47450582124756,6.700557211087562,5.786616981553683,5.040548901607058,146474.6,135879.09999999998,217256.2,205196.8,21.7,15.5,11.9,18.4,8.01678544636159,6.788822205551388,5.248013565891473,6.542738743196438,1.1980219148059577,1.4824500843907746,1.4942214040988466,1.5133417774929088,6.4,4.9,3.2,4.6,9.4,8.3,7.2,8.5,4.24490495220968,5.081609620271701,4.394947738789405,5.675324604044679,44.4,39.6,37.1,41.1,3.779655984420781,3.598383277478633,3.668015928337121,4.979986112331596,18.7,15.1,14.7,10.9,4342.0,2034.0,1654.0,2752.0,0.0,0.0,0.0,0.0,66762.40000000001,51218.7,90360.55,64345.7,9.986640692501648,12.543265590102708,14.465008471578363,11.579489649556752,18.83542538535134,19.50642076970488,18.465203055943032,21.118115122654167,14.725093773443358,13.973237059264818,12.085852713178287,15.8345497278575,7.179516323231664,5.099055206770344,3.81599583763466,5.737753026879775,1.059598170802895,0.6112742829337914,0.3695649880393154,0.4457220307770654,215651124016.60864,0.0,0.0006683375104427,0.0008354218880534,0.0012531328320802,0.9862990810359232,0.9203007518796992,0.8285714285714285,0.7995822890559733,0.0137009189640768,0.0783625730994152,0.1412698412698412,0.1928989139515455,0.0,0.000501253132832,0.0284878863826232,0.0060150375939849,0.0,0.0001670843776106,0.0003341687552213,0.0001670843776106
NSW Border Rivers,0.1338072694764408,0.6757245714551582,0.1890320602721151,0.0014219745963802,1.4124199905617112e-05,0.0,0.0,0.6781834284916683,0.3069030780785771,0.0144685811327276,0.0004428352088055,2.077088221414281e-06,0.0,0.0,0.0004253876677456,0.5124334500933859,0.3585220437218762,0.128546835846887,7.228267010521699e-05,0.3426076451550359,0.1868625101708369,0.0884233089896112,0.0733306984444212,0.0024451437671619,0.0127734111537001,0.1686465619671185,0.0653895741257223,3.148609391804667e-05,0.0594892458417641,0.0,4.142907094479825e-07,0.0,2020,2.797918834547347,2.466737176097303,3.442661290322581,1.970653029110936,6.5635804863583695,7.635553364464465,7.34662967956849,4.806347867697805,9.0,7.0,12.0,7.0,0.2552863840370754,0.4978471615111632,0.5235907056382504,0.319022238062449,23.90426638917794,24.24431517715494,19.497903225806454,21.244177812745868,6.481076472729971,6.655786236206854,5.862762561357044,4.8709154985194525,45944.0,91692.0,72532.20000000001,54002.7,13.8,12.4,10.4,13.9,5.980957336108221,5.487784241142253,4.174005376344086,4.176514555468134,1.6558795441628855,1.5692001512676572,1.2521461490040684,1.013424431843061,3.6,3.2,2.5,2.9,8.0,7.4,5.7,5.4,4.593813438811033,5.2561639670715286,4.283503726968301,4.225960083179117,38.5,36.3,32.7,29.7,3.375505268520598,4.361085770371723,3.6029914632893294,4.492681323696117,14.8,9.0,11.0,3.0,674.0,559.0,114.0,1.0,0.0,0.0,0.0,71.0,17683.75,22869.050000000003,21255.65,5396.450000000001,12.955773023190376,13.300050247893497,11.93985727525174,12.980868233540594,14.128904485300971,11.947687146891544,7.856742991699729,10.41404155723525,13.66852237252862,14.46567953463775,11.390268817204303,15.196105428796228,4.023574926357843,3.588873487028309,2.409581537556086,2.479390501248653,0.2260004736820946,0.1099958504593549,0.0643476944263302,0.0454075525042528,23739973783.17105,0.0,0.0,0.0,0.0,0.5538922155688623,0.2717065868263473,0.1519461077844311,0.25,0.4071856287425149,0.4925149700598802,0.3495508982035928,0.5344311377245509,0.0389221556886227,0.2267964071856287,0.3532934131736527,0.2080838323353293,0.0,0.0089820359281437,0.1452095808383233,0.0074850299401197
